src_ip,events,first_seen,last_seen,bytes_to_srv,bytes_to_cli
134.199.207.249,128,2025-08-30 03:44:55.332000+00:00,2025-08-30 16:12:37.504000+00:00,8333.0,30702.0
170.64.156.120,128,2025-08-29 21:15:39.446000+00:00,2025-08-30 18:15:24.531000+00:00,43320.0,19786.0
170.64.140.97,127,2025-08-30 02:21:04.048000+00:00,2025-08-30 13:46:46.547000+00:00,7771.0,30780.0
161.35.131.41,127,2025-08-29 20:37:31.933000+00:00,2025-08-29 20:40:49.911000+00:00,4341.0,33486.0
141.11.209.112,126,2025-08-29 20:20:30.240000+00:00,2025-08-30 18:35:24.464000+00:00,0.0,0.0
114.34.195.182,126,2025-08-29 19:36:47.461000+00:00,2025-08-30 14:27:03.961000+00:00,0.0,0.0
66.85.26.65,126,2025-08-29 20:37:37.860000+00:00,2025-08-30 19:08:02.492000+00:00,568.0,0.0
134.199.195.103,125,2025-08-30 00:50:30.120000+00:00,2025-08-30 02:22:22.799000+00:00,6791.0,30618.0
104.36.164.11,125,2025-08-29 21:42:54.273000+00:00,2025-08-30 19:12:03.627000+00:00,0.0,0.0
159.223.79.241,124,2025-08-30 02:22:46.666000+00:00,2025-08-30 03:59:12.308000+00:00,11609.0,25364.0
209.38.25.40,122,2025-08-30 00:39:50.379000+00:00,2025-08-30 12:00:02.343000+00:00,8288.0,28332.0
104.248.146.105,121,2025-08-29 20:20:46.143000+00:00,2025-08-30 15:06:35.597000+00:00,12125.0,23714.0
178.130.47.183,121,2025-08-29 20:16:55.238000+00:00,2025-08-30 18:40:48.287000+00:00,0.0,38200.0
134.209.177.246,120,2025-08-30 00:59:27.174000+00:00,2025-08-30 15:06:51.565000+00:00,9928.0,24736.0
198.204.228.213,120,2025-08-29 21:36:12.667000+00:00,2025-08-30 17:55:16.724000+00:00,0.0,0.0
45.146.234.136,120,2025-08-29 23:26:40.292000+00:00,2025-08-30 18:49:27.448000+00:00,0.0,0.0
143.14.120.119,120,2025-08-29 20:12:16.510000+00:00,2025-08-30 19:05:49.968000+00:00,0.0,0.0
45.55.52.128,120,2025-08-29 21:45:06.317000+00:00,2025-08-29 23:18:38.491000+00:00,6947.0,27694.0
51.81.186.171,120,2025-08-29 19:59:06.059000+00:00,2025-08-30 19:00:07.204000+00:00,0.0,0.0
184.164.66.105,120,2025-08-30 11:19:21.101000+00:00,2025-08-30 18:41:27.145000+00:00,0.0,0.0
178.130.47.160,120,2025-08-29 19:25:52.177000+00:00,2025-08-30 18:44:59.384000+00:00,388.0,16204.0
188.246.224.87,119,2025-08-30 06:52:58.849000+00:00,2025-08-30 17:15:39.123000+00:00,38881.0,27251.0
178.130.47.188,119,2025-08-29 19:26:14.746000+00:00,2025-08-30 18:21:07.320000+00:00,0.0,14104.0
178.130.47.32,117,2025-08-29 19:36:27.328000+00:00,2025-08-30 19:11:22.771000+00:00,0.0,21010.0
137.184.169.231,117,2025-08-29 23:58:27.110000+00:00,2025-08-30 01:31:18.519000+00:00,7482.0,25424.0
178.130.47.31,116,2025-08-29 20:21:03.567000+00:00,2025-08-30 18:17:24.094000+00:00,0.0,22920.0
178.130.47.21,116,2025-08-29 20:07:12.721000+00:00,2025-08-30 19:07:09.664000+00:00,582.0,21010.0
178.130.47.62,116,2025-08-29 19:47:03.962000+00:00,2025-08-30 19:00:54+00:00,388.0,15280.0
178.130.47.145,116,2025-08-29 19:49:35.483000+00:00,2025-08-30 18:46:38.069000+00:00,2064.0,21316.0
178.130.47.193,115,2025-08-29 20:08:52.149000+00:00,2025-08-30 19:09:07.278000+00:00,0.0,36290.0
178.130.47.140,115,2025-08-29 19:24:39.279000+00:00,2025-08-30 19:14:36.190000+00:00,2216.0,17190.0
178.130.47.58,115,2025-08-29 20:06:06.471000+00:00,2025-08-30 19:15:46.942000+00:00,1599.0,40110.0
178.130.47.174,114,2025-08-29 19:38:09.747000+00:00,2025-08-30 19:19:08.185000+00:00,0.0,27664.0
80.94.95.112,114,2025-08-29 19:21:31.065000+00:00,2025-08-30 19:04:12.991000+00:00,0.0,0.0
178.128.255.82,114,2025-08-29 19:37:43.519000+00:00,2025-08-29 19:41:16.417000+00:00,12823.0,20660.0
178.130.47.170,114,2025-08-29 19:56:33.356000+00:00,2025-08-30 19:12:07.627000+00:00,0.0,20190.0
178.130.47.15,113,2025-08-29 19:43:26.304000+00:00,2025-08-30 18:57:23.751000+00:00,1071.0,22920.0
178.130.47.10,113,2025-08-29 19:39:43.629000+00:00,2025-08-30 19:19:48.158000+00:00,1821.0,11003.0
217.76.58.242,113,2025-08-29 19:27:26.186000+00:00,2025-08-30 18:37:04.115000+00:00,10340.0,2126.0
178.130.47.159,113,2025-08-29 19:24:53.713000+00:00,2025-08-30 19:08:24.477000+00:00,388.0,26740.0
162.248.53.74,113,2025-08-30 08:13:22.591000+00:00,2025-08-30 19:19:00.246000+00:00,2582.0,459.0
178.130.47.181,113,2025-08-29 19:53:20.916000+00:00,2025-08-30 19:12:58.453000+00:00,938.0,13869.0
